Date,Open,Close,Return Close day vs Close previous day
"Oct 06, 2021","4,319.57","4,363.55",0.41%
"Oct 05, 2021","4,309.87","4,345.72",1.05%
"Oct 04, 2021","4,348.84","4,300.46",-1.30%
"Oct 01, 2021","4,317.16","4,357.04",1.15%
"Sep 30, 2021","4,370.67","4,307.54",-1.19%
"Sep 29, 2021","4,362.41","4,359.46",0.16%
"Sep 28, 2021","4,419.54","4,352.63",-2.04%
"Sep 27, 2021","4,442.12","4,443.11",-0.28%
"Sep 24, 2021","4,438.04","4,455.48",0.15%
"Sep 23, 2021","4,406.75","4,448.98",1.21%
"Sep 22, 2021","4,367.43","4,395.64",0.95%
"Sep 21, 2021","4,374.45","4,354.19",-0.08%
"Sep 20, 2021","4,402.95","4,357.73",-1.70%
"Sep 17, 2021","4,469.74","4,432.99",-0.91%
"Sep 16, 2021","4,477.09","4,473.75",-0.16%
"Sep 15, 2021","4,447.49","4,480.70",0.85%
"Sep 14, 2021","4,479.33","4,443.05",-0.57%
"Sep 13, 2021","4,474.81","4,468.73",0.23%
"Sep 10, 2021","4,506.92","4,458.58",-0.77%
"Sep 09, 2021","4,513.02","4,493.28",-0.46%
"Sep 08, 2021","4,518.09","4,514.07",-0.13%
"Sep 07, 2021","4,535.38","4,520.03",-0.34%
"Sep 03, 2021","4,532.42","4,535.43",-0.03%
"Sep 02, 2021","4,534.48","4,536.95",0.28%
"Sep 01, 2021","4,528.80","4,524.09",0.03%
"Aug 31, 2021","4,529.75","4,522.68",-0.13%
"Aug 30, 2021","4,513.76","4,528.79",0.43%
"Aug 27, 2021","4,474.10","4,509.37",0.88%
"Aug 26, 2021","4,493.75","4,470.00",-0.58%
"Aug 25, 2021","4,490.45","4,496.19",0.22%
"Aug 24, 2021","4,484.40","4,486.23",0.15%
"Aug 23, 2021","4,450.29","4,479.53",0.85%
"Aug 20, 2021","4,410.56","4,441.67",0.81%
"Aug 19, 2021","4,382.44","4,405.80",0.13%
